audio_id	sentence
Voice8	त्यसै गरी विश्वको कुनाकुनामा शान्तिको संदेश छरी अमर बन्न पुगेका शान्तिका अग्रदुत गौतम बुद्ध पनि मेरै देशका बासिन्दा हुन्।
Voice9	श्वेतभैरबी केवल बुट्टाका अस्पष्ट रेखाहरू मोटो खाँडीमा बाकी बचेका थिए तर त्यसमा कति आफ्नोपना ।
Voice10	हाम्रो देश स्वर्ग झैँ सुन्दर र चद्रमा झैँ चम्किलो छ।
Voice11	ढोकाको डन्डीको छाया एउटा भुइँमा सोझो, अर्को भित्तामा च्याप्टो र बाङ्गिएको परिरहेको थियो ।
Voice12	घरघरमा बत्ती निभेका छन्‌ ।
Voice13	यो सारा नेपालीहरूले आफ्ना मनमा लागेका कुराहरू अरूलाई बताउने माध्यम भाषाका रूपमा पनि रहेको छ।
Voice14	प्रारम्भमा ग्रामीण जीवनको बाटोमा तै-तै गरेर पाइलो चाल्ने प्रयत्न गर्दा सान्नानीको सहारा नभई हुँदैनथ्यो।
Voice15	लागि सञ्चारका माध्यमले अहम् भूमिका खेलेको छ, पत्रपत्रिकाको अभावमा व्यक्ति तथा राष्ट्रले राजनीति, खेलकुद, कृषि र अन्य कुराहरू थाहा पाउन सक्दैन ।
Voice16	जस्तै –हाम्रो सहर हेटौँडा ।
Voice17	पहिले जो आमाजस्ती भएर मेरो औंलालाई सहारा दिँदै गाउँका आवश्यक वस्तुहरूलाई चिह्नाउँदै हिंड्थी, त्यो पछि-पछि सहचरी भएर गई ।
Voice18	किशोरले कोठामा एकचोटि दृष्टिपात गर्‍यो ।
Voice19	यस प्रविधिको युगमा पुस्तकालय विद्या प्राप्त गर्नकालागि एक सजिलो मार्फत हो।
Voice20	हामी रिस,राग,कपट र छल कहिले गर्दैनौ।
Voice21	आगामी दिनमा बलिस्टिक क्षेप्यास्त्रसहित थप अस्त्रहरू प्राप्त गर्नका लागि प्रयास गरिरहेको छौँ ।
Voice22	निष्पट्ट शान्ति छ शहरमा; झन्‌ जाडोले शान्तिलाई जम्मोठजस्तो डल्लो पारेर अडाइदिएको छ ।
Voice23	पुस्तकालय आज सबै मानिसले पढ्ने गर्छन।
Voice24	यो हाम्रो स्वास्थकोलागि एकदमै खतरनाक बस्तु हो।
Voice25	दूध खान मन लाग्दा म आमासँग माग्थे तर छोएर खन्नथे।
Voice26	बनारसमा म जन्मेँ, त्यहीं हुर्के ।
Voice27	यस दिन गाई र धनको पूजा गर्ने गरिन्छ।
Voice28	त्यो दिन उहाँ दिशाको आविष्कार गरे र त्यसैले हामीले आज दिशा हेर्न सफल भएका छौ।
Voice29	उक्त महत्त्वलाई बुझ्दा बुझ्दै पनि बढ्दो जनसंख्याको कारणले दिन प्रतिदिन जंगलको विनाश भइरहेको पाइन्छ।
Voice30	मन्त्रीहरू र अरू ठूला-ठूला कर्मचारीहरू सरकारी आवासस्थानहरूमा; पसले, जागीरिया, कृषक, गरीब, मध्यवित्तीय तथा धनी व्यक्तिहरू छन् ।
Voice31	हामीले यसमा रहेको अर्थपूर्ण ज्ञानलाई मनले धारण गर्न सक्यो भने लक्ष्य र आकाङ्क्षा प्राप्त गर्न सक्छौ।
Voice32	तिहार हाम्रा चाडहरू मध्येको एक महत्त्वपूर्ण चाड हो।
Voice33	दूबो पनि छ, तर खोइ, त्यो कम्पनीको बगैंचाको संयम यिनीहरूमा ? खोइ, त्यो सुसंस्कृत, सुव्यवस्थित रचना यिनीहरूको ?
Voice34	हामी त्यहाँ गयौं ।
Voice35	हामी वृक्ष वनस्पतिलाई पनि उनीहरूको उपकार सम्झी श्रद्धा गर्छौं।
Voice36	देशको भौतिक अवस्थालाई विपन्नताबाट सम्पन्नतातर्फ, नराम्रो अवस्थाबाट राम्रो अवस्थातर्फ, यथास्थितिबाट उन्नतितर्फ लैजानुलाई देश विकास भनिन्छ।
Voice37	फर्जी बिल बनाएर समेत इन्धनमा आर्थिक अनियमितता हुने गरेको ती कर्मचारीले बताए ।
Voice38	त्यस्ता वर्गहरूका लागि पनि योग्यता, क्षेमता, रुचि र दक्षता अनुसारका तालिम, रोजगार र कामको व्यवस्था गरी तिनको मनोबल बढाएमा तिनले पनि देश-विकासको होस्टेमा हैसे गर्न पुग्दछन् ।
Voice39	हामी नेपाली विर गोर्खाली रगतले हार मान्दैनौ र गौतम बुद्धको शिक्षालाई चारै तर्फ बाढ्छौ।
Voice40	जीवनचक्रमा हरेक व्यक्ति एकपल्ट युवावस्थामा पुग्दछ र ऊ व्यक्तिगत रूपमा कुनै पद वा ओहदामा बसेर वा नबसेरै भए पनि राष्ट्रिय विकासको पुनीत महायज्ञमा सरिक भएकै हुन्छ।
Voice41	यसमा एउटा वायु निवास गर्छ, त्यसो हुनाले गाउँलेहरू मनौती मान्दै यसमा फलामका कीलाहरू गाड्छन्‌ ।
Voice42	यसबारेमा कार्यवाहक नगरप्रमुख प्रविन र प्रमुख प्रशासकीय अधिकृत विनयकुमार सोनु सम्पर्कमा आउन चाहेनन् ।
Voice43	यो कारणले हामी प्रसन्न वा अन्यलाई प्रभाव पार्नको लागि जन्मिएको छैन र हामी कहिल्यै पनि गर्न सक्दैनौं।
Voice44	अनेकौँ मुहानबाट निस्केका पवित्र नदि जस्तै यहाँ अनेकौँ परम्परा र मान्यता छन्।
Voice45	यदि हामीले आफ्नो अधिकार पाएनौ भने काटमार, हडताल आदि सुरु गर्न थाल्छौ तर आफ्नो दायित्व भने पुरा गर्दैनौं।
Voice46	कसैले कारखानामा बेच्छन् त कसैले होटेलमा बेचिदिन्छन् ।
Voice47	अस्ट्रेलियाले एक इरानी व्यवसाय र तीन जना इरानी नागरिकमाथि प्रतिबन्ध लगाएको जनाउँदै उनले कुरा रखे।
Voice48	अनेकौ मन्दिर, गुम्बा, स्तुपा, कलाकृति आदिले पनि मेरो देशलाई सिगारेका छन् र विश्वमै चिनाएका छन्।
Voice49	यस दिन लक्ष्मीलाई खुसी पार्न सकियो भने घरमा सधैँ लक्ष्मीको बास हुन्छ भन्ने विश्वास पनि सबै हिन्दूहरूमा रहेको पाइन्छ।
Voice50	समाज तथा व्यक्तिको उन्नति नहुने भएकाले यस क्षेत्रमा पनि अनुशासनको महत्त्व टडकारोको रुपमा खट्किन्छ, त्यसै गरी सरकारी तथा गैरसरकारी कार्यालयमा पनि जरुरी छ ।
Voice51	राधा कस्ती सरल बालिका जस्ती थिई, उसको गोल-गोल अनुहारमा अझै बालिकाको स्निग्धता बाँकी नै थियो- तर आमा पनि हुन लागेकी थिई अब त्यो ।
Voice52	शरीर स्वस्थ भएपछि मानिसले धेरै काम गर्न सक्छ।
Voice53	बैनी बडो उत्साही बालिका थिई ।
Voice54	जसलाई वास्तविकताको बोध पाउन म बारम्बार हातले छोइरहन्छु र बीचबीचमा जसमा व्यथित हृदयले टाँस्टिन पुग्छु ।
Voice55	आमा त भन्थिन्‌- गाउँको पाठशालामै कौमुदी पढाए भइहाल्थ्यो नि ।
Voice56	भैंसवार ठिटो पछर्वारेया धारमा भैंसीलाई नुहाउन गएको थियो, हामी दुबैले दुईचोटि कोशीको धारलाई पार गर्यौं ।
Voice57	देशको निर्माणमा र उन्नतिमा समाजको ठुलो योगदान रहेको छ भन्ने कुरा प्रत्यक नागरिकले दिलदिमागले बुझ्नुपर्छ।
Voice58	कसैमा पहाड चढ्ने तीव्र चाहना हुन्छ भने कसैलाई पहाड चढ्ने कुरा सुन्ने बित्तिकै ज्वरो आउँछ।
Voice59	धनी मान्छे नै अहिले अगाडि हुन्छन् र बिभिन्न नराम्रा काम गुस दिएर गराउँछन्।
Voice60	नरनारी सबै, बालक, विद्यार्थी, ज्यामी, कामी, आफ्ना-आफ्ना घरमा-सर्वहारा पाटीका सत्तलमा जहाँ मुन्टो घुसार्ने ठाउँ पाए त्यहीं- सबै सुतेका थिए ।
Voice61	परिवार र समाजको समुचित माया र स्नेह नपाएका वा आवश्कताभन्दा बढी माया र स्नेहले पुल्पुलिएका बालकहरू जब युवा बन्छन् तीमध्ये पनि केही विकृति-विसंगतितर्फ लागेका हुन्छन्।
Voice62	बम फ्याँक्दा किशोरले मनमा निस्सङ्ग भएर विश्वास गरेको थियो कि त्यसको यो कार्य अनिवार्य छ ।
Voice63	राधा लाजले भुतुक्क भएकी थिई ।
Voice511	सिँचाइको लागि पनि बर्सा हुनु जरुरी छ।
Voice512	त्यसै कारणले हामीले आफ्नो दायित्वलाई पुरा गर्नुपर्छ।
