audio_id	sentence
Voice64	इष्टमित्रहरूले भनेका थिए- आजकल अङ्ग्रेजी नपढाईकन हुँदैन।
Voice65	मलाई कक्षाका साथीहरू निकै मन पराउथे।
Voice66	तिहारको पहिलो दिनलाई काग-तिहार भनिन्छ।
Voice67	छोरोले जब म्याट्रिकमा प्रथम श्रेणी ल्यायो, बाको आँखा त्यसै गर्वले उज्यालो भएको थियो, तर मुखले भने गर्वको एक वाणी बर्सिएका थिएनन्‌ ।
Voice68	मनिस सम्पत्ति,घरबंगलाका लागि आफ्नो छिमेकी,घरपरिवारलाई मार्ने गरेको समाचारमा सुनाउने गरेको छ।
Voice69	यस दिनलाई ‘भाइटीका’ पनि भनिन्छ।
Voice70	त्यसै बखतमा फलामे डन्डी भएको कोठरीको ढोकामा बाक्लो साङ्लो बज्यो ।
Voice71	घरपरिवारदेखि लिएर समाज, धर्म, संस्कृति, राजनीति, वित्त आदि सबै क्षेत्रमा अनुशासन चाहिन्छ ।
Voice72	बगेर खेर गइरहेको नदीमा बाँध बाँधेर विद्युत्ऊर्जा निकलेझैँ खेर गइरहेको युवा शक्तिलाई सुसङ्गठित पारी राष्ट्रिय विकासको अभियानमा पोख्न सकिन्छ ।
Voice73	यसको स्वाद लीन सक्नु पनि जीवनको रमाइलो नै हो।
Voice74	पालिकाले गत आर्थिक वर्षको अन्तिममा असारमा सोह्र वटा एसी (एयर कन्डिसन) खरिद गरेको हो ।
Voice75	यो संस्कृति विकासको एउटै लक्ष्यमा लम्केको करोडौँ नेपालीको एकता अभियान छ।
Voice76	नेपालका पहाड, भित्रि मधेस् तथा तराई क्षेत्र गरी सबै क्षेत्रतिर नेपाली भाषा बोलिन्छ।
Voice77	यो प्राय गाउमा हुने गर्छ।
Voice78	पशुपतिनाथ मन्दिर, दत्तात्रेय, तलेजु भवानी मन्दिर, कृष्णमण्डप, मनकामना मन्दिर आदि जस्ता मन्दिर र ती ठाउँक कलाकृति यहाँको शोभा बढाएका छन्।
Voice79	उसले बालाई एक-दुईचोटि भनेको थियो- बा, अहिले बिहे गर्दिनँ पढिसिध्याउँछु, अनि।
Voice80	मेरो देश विश्वमै एक भूपरिवेष्ठित देशका रुपमा चिनिन्छ।
Voice81	नारी हक र स्वतन्त्रता भन्ने बितिक्कै पुरुष जमात तिर फर्केर औंला उठाउने परम्परित प्रब्रित्तीबाट ग्रस्त नारीहरुको जमात पनि छ ।
Voice82	जेठो छोरोले त्यति अङ्ग्रेजी पढिहाल्यो; अब घर बसोस्‌ र खेती हेरोस्‌ ।
Voice83	अनुशासन मानिसका लागि अति आवश्यक छ।
Voice84	त्यही ज्ञानका कारणले तिनीहरुको मनमा मानसिकता जाग्ला र केही गर्न परिश्रमका साथ अगाडि बढ्छन्।
Voice85	उहाँले यो आविष्कार गरेर आफ्नो नाम अहिले कमाइरहेका छन्।
Voice86	सामाजिक समस्या मध्ये एक नराम्रो र बिस्तृत रुपमा चलिरहेको समस्या दाइजो प्रथा हुन्।
Voice87	बतहिया चमाइन जो बोक्सी थी र जसको घर गाउँभन्दा छुट्टै दक्खिनपट्टि थियो ।
Voice88	यसको कारणले यो देशको जनसङख्यामा असर पर्छन्।
Voice89	अधिकांश शिक्षित नारीहरु जस्लाई म राम्ररी चिन्छु को ठुलो संख्या दुई जोडा नयाँ र किम्ती लुगा ,दुई चारजोर सुनका गहना ।
Voice90	मेरो यस्तो बानीबेहोराबाट घरका सबै जना प्रसन्न हुनुहुन्थ्यो।
Voice91	त्यसपछि राति बसेर ऊ दुलहीलाई पढाउन थालेको थियो ।
Voice92	आज मानिसहरु समयलाई उप्युक्त तरिकाले उपयोग गर्नका लागि यसमा भएको किताबहरु पढ्ने गर्छन।
Voice93	यो धारमा माछा पाइँदैन ।
Voice94	म अथाह ज्ञान-आर्जन गर्ने अभिलाषा बोकेर विद्यालय धाउन लागे।
Voice95	देशभक्तिलाई सर्वोपरि आधार र राष्ट्र निर्माणलाई अन्तिम लक्ष्य बनाएर युद्धारम्भ गरेका पृथ्वी जब एउटा घरका भाइ आपसमा झगडा गरे।
Voice96	यहाँ पनि रूख छन्‌, फूल, पात, लता, गुल्मी पनि चारैतिर उम्रिएका छन्‌ ।
Voice97	यदि हामीले एकतामा एकजुट भइ कम गर्यो भने सामाजिक समस्याको अन्त्य हुनेछ र समाजको विकास हुनेछ।
Voice98	अन्तिम घडीमा एक-एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ ।
Voice99	र उसले बैनीलाई भनेको थियो- बैनी, भाउजूलाई पनि आफूले पढेको सिका न ।
Voice100	सडकमै फुटपाथमा गोडा लतार्दै अझै आफ्नो घरको आश्रयमा पुग्न नसकेका लुगैलुगाले सारा शरीरलाई बेरेर हिँडेका एक-दुई मानिसहरू।
Voice101	तिनीहरु सोच्छन् छोराले भविष्यमा सहायता गर्छन तर छोरीले बिहेमा मात्र खर्च गराउछन्।
Voice102	पर्वतारोहण मानिसको सोखको कुरा हो।
Voice103	उसले बैनीलाई राखेर भन्यो- बैनी, तिमीले पढ्नु पनि पर्छ ।
Voice104	तिब्र गतिमा बढिरहेको नसालु पदार्थलाई लागु पदार्थ भनिन्छ ।
Voice105	यो भनाइ मत्स्य पुराणमा छ।
Voice106	शर्मिला ।
Voice107	अनन्तसम्म पर्खन पनि तयार हुनुपर्छ तर यत्रो द्रुतगतिमा बढिरहेको दुनियाँमा के हामी नेपालीले अनन्तसम्म पर्खिरहने !
Voice108	समष्टिमा भन्नुपर्दा राष्ट्रको उदय गराउनका साथै समस्त नेपाली जनतालाई सुषुप्तिका तर्फबाट उकासी चेतना।
Voice109	हाम्रो देशमा बिर गोर्खालीहरु जन्मेका हुन्, उनिहरुले शत्रुहरुलाई पराजित गरेर हाम्रो देशलाई जोगाएका हुन्।
Voice110	साँझको अन्धकार गाढा हुँदै आएको थियो ।
Voice111	भेदभाव भनेको जात,धर्म,छोराछोरी आदि बिच गरिने भेद वा तल्लो उच्चको भावलाई भेदभाव भनिन्छ।
Voice112	इतिहासका पाना पल्टाउँदै जाँदा प्रत्येक देशका सीमारेखाहरू युवावर्गको रगतबाट कोरिएका छन् भने उनीहरूमा विकृति-विसंगति पनि छन् ।
Voice113	देशको भौतिक अवस्थामा गुणात्मक परिवर्तन गर्ने काम नै देश विकासको काम हो।
Voice114	तुलसीको मठलाई सफासँग लिपेर स्वच्छ बनाएको थियो ।
Voice115	पाकडको वायुको नजिकै मशान भएकोले मध्यराति र मध्यदिनमा यहाँ आउनु हुँदैन ।
Voice116	त्यसै गरी यस चाडमा खेलिने भैलो र देउसीलाई पैसा कमाउन मध्यम बनाउने दुष्प्रवृत्ति पनि बढ्दो छ।
Voice117	विशाल समुद्र पनि आफ्नो निश्चित सीमामा अडेको हुन्छ।
Voice118	मेरो देशलाई मन्दिरै मन्दिरको देश पनि भनिन्छ।
Voice119	हुन् त् नेपालमा अरू थुप्रै भाषाहरू बोलिन्छन् तर सम्पूर्ण नेपालीहरूका बीचमा सम्पर्क कायम गर्ने भाषामा रूपमा नेपाली भाषा नै रहेको छ।
Voice120	दाँती लागिसकेको थियो ।
Voice121	अनुशासनले व्यक्तिलाई मात्र नभई परिवार, समाज, राष्ट्र र विश्वलाई समेत शिष्ट, सभ्य र सुसंस्कृत बनाउँछ।
Voice122	तत्त्व र देशबाहिरका अंग्रेज साम्राज्यवादी शक्तिसँग बुहारीसाथ लडेर नेपाल र नेपालीको अस्तित्व र अस्मितालाई जोगाए।
Voice123	अनुशासनको पालना गर्ने व्यक्तिले समाजमा उच्च पद र प्रतिष्ठा प्राप्त गर्दछ।
Voice124	त्यसै ऊ कुनै किसिमको बाधा, बन्धन, रोकावट, दबाब आदि मा नरही फुक्का हुन् चाहन्छ, मानिस कुनै पनि किसिमको बन्धन मन पराउँदैनन्, जसरी चराहरू फुक्का भई ।
Voice125	जसको माथिपट्टिको हिस्सामा ठाउँ-ठाउँमा चिरा परेका थिए ।
Voice126	शरीरमा धमिलो पानी, हावा र घामको माध्यमले सुकेको हुनाले शरीरभरि धूलो र पानीको रेखाचिन्ह स्पष्ट देखिन्थे ।
Voice127	भर विभिन्न कार्यक्रमहरूको आयोजन गरी देवकोटाको जन्म जयन्ती मनाउने गरिन्छ।
Voice128	समाजमा जातधर्म,काम,भाषाभेषमा भेदभाव गरिन्छ।
Voice129	उनीहरु नेपालमै जन्मेका थिए।
Voice130	सानो भाइ आफ्नो स्कुलमा राजनीतिका कुरा गर्दो हो र भन्दो हो- नेपालमा प्रजातन्त्र ल्याउनुपर्छ ।
Voice131	पहिला मानिस अरूको अधिनमा भएकोले चाहेको कुरा गर्न सक्दैनथे तर आजकल येसै पनि केहि गर्दैनन् ।
Voice132	नीलो र स्वच्छ आकाश, खेतमा झुल्ने धन, घर-आँगनमा ढकमक्क फुलेको सयपत्री र मखमली फूल आदि सबैले तिहारको सौन्दर्यलाई बढाएको देखिन्छ।
Voice133	गाढा हरियो दूबो पनि ठूला-ठूला क्यारीमा उमारिया छन्‌ जसउपर गोडा राख्दा मन हरियो हुन्छ, त्यसै पुलकित हुन्छ शरीर ।
Voice134	नेपाली बहसले पनि सम्पूर्ण नेपाली जनतालाई एकताको मालामा उनेकाले हामी सबैका निम्ति नेपाली बहसको ठूलो महत्त्व रहेको छ।
Voice135	कानमा केही शब्द पर्दैन; भित्री कानले मात्र छोडेर आएको बनारसको गल्लीको ध्वनि सुनिरहेको छ ।
Voice136	सत्र सय उनासी साल पौष सत्ताइस गतेका दिन गोर्खाको दरबारमा भएको हो।
Voice137	शिक्षकको सान गर्ने र तिनले पढाएको-सिकाएको कुरा ध्यान दिएर अध्ययन गर्ने विद्यार्थी पछि गएर असल नागरिक बन्दछ र उसको भविष्य पनि उज्जवल बन्दछ।
Voice138	अस्ति हाम्रै गाउँकी मुनरियालाई वायु चढेको थियो ।
Voice139	कलाकृतिहरुले पनि भरिएको मेरो देश विश्वमै एक अनौठो र आफ्नै प्रकारका विशेषता भएको रमाइलो देश बन्न पुगेको छ।
Voice140	त्यहाँ आरामपूर्वक जीवन बिताउने र एक भव्य जीवनशैली बीच एक फरक छ।
Voice141	यो बहुसङ्ख्यक नेपालीहरूले बोल्ने भाषा हो।
Voice142	एउटा सानो ढक्कीमा तीन किसिमका चुराहरूलाई अलग्ग डोरीले बाँधेर र अरू सामानहरूलाई एउटा नाङ्लोमा दुई-तीन थुप्रो पारेर राखेको थियो ।
Voice143	अहिले फूल त्यसमा लागेको थिएन; कहिएका, सुकेका फलहरू भुइँमा छरिएका थिए जसमाथि भुसुनाहरू भुं-भुं गर्दै उड्दै-बस्दै गरिरहेका थिए ।
Voice144	यो तिहार कार्तिक महिनाको शुल्क पक्षको प्रतिपदा तिथिमा पर्दछ।
